Channel,Date,Start time,Film Code,Break Code,Advertiser,Brand,Agency,Holding Company,BARB Prog Before,BARB Prog After,Sales House,Major category,Mid category,Minor category,All PIB rel,All PIB pos,Log Station (2010-),Impacts A4+
ITV1 HD,26/03/2024,12:11:56,AEDVEPW065060,CB,Vegpower,Vegetable power awareness,Goodstuff communicat,Vegpower,THIS MORNING,THIS MORNING,ITV SALES,Media,Media - brand building,Media - brand building,2nd,2,ITV1 HD London Carlton,41
ITV1 HD,26/03/2024,12:12:56,NVCGFGF102030,CB,Giffgaff,Giffgaff mobile network,Manning gottlieb omd,Telefonica europe,THIS MORNING,THIS MORNING,ITV SALES,Telecoms,Personal mobile networks & services,Mobile pay monthly - sim only,3rd,3,ITV1 HD London Carlton,39
ITV1 HD,26/03/2024,12:13:26,ITCITVW001030,CB,Itv,Itv competitions portal,Itv network limited,Itv,THIS MORNING,THIS MORNING,ITV SALES,Business & industrial,Business,Promo prods/incentives/competitions,3rd last,4,ITV1 HD London Carlton,39
ITV1 HD,26/03/2024,12:13:56,AORAODL250030,CB,Ao retail,Appliancesonline.co.uk,Dentsu manchester li,Ao world,THIS MORNING,THIS MORNING,ITV SALES,Electronics, household appliances & tech",Electronics & home appl - brand building,Electronics & home applianc - multi prod,2nd last,5,ITV1 HD London Carlton,39
ITV1 HD,26/03/2024,12:14:26,SSCPLRM031030,CB,Pilgrims food group,Pilgrims richmond sausages,Dentsu uk limited,Onix investments uk,THIS MORNING,THIS MORNING,ITV SALES,Food,Meat/poultry,Sausages,Last,6,ITV1 HD London Carlton,39
ITV1 HD,26/03/2024,12:26:47,WPPEMMA317010,EB,Emma mattress,Emma mattress,Medialab group limit,Bettzeit,THIS MORNING,LOOSE WOMEN,ITV SALES,Household equipment & diy,Furniture & fittings,Beds & mattresses,First,1,ITV1 HD London Carlton,24
ITV1 HD,26/03/2024,12:26:57,SRQBSHS001030,EB,Bissell homecare ove,Bissell hydrosteam vacuum cleaners,Smart response media,Bissell homecare ove,THIS MORNING,LOOSE WOMEN,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Small appliances home - multi products,2nd,2,ITV1 HD London Carlton,24
ITV1 HD,26/03/2024,12:27:27,DAAINSU007030,EB,Insure & go,Insure & go travel insurance,Medialab group limit,Insure & go,THIS MORNING,LOOSE WOMEN,ITV SALES,Finance,General insurance,Travel & sport insurance,3rd,3,ITV1 HD London Carlton,24
ITV1 HD,26/03/2024,12:27:57,CWWGARN248020,EB,Loreal uk,Loreal garnier skinactive vitamin c,Essence global limit,Loreal uk,THIS MORNING,LOOSE WOMEN,ITV SALES,Cosmetics & personal care,Skincare,Skin serum,Last,4,ITV1 HD London Carlton,24
ITV1 HD,26/03/2024,12:40:26,LBEDISN002020,CB,Walt disney company,Disneyland paris,Zenith uk media limi,Walt disney company,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Travel & transport,Holidays/overseas,Overseas resorts,First,1,ITV1 HD London Carlton,48
